年度,賞,名称,URL,受賞者,賞提供者,データソース
2021,優秀賞,オープンデータ,https://www.digital.go.jp/posts/6RFwVpXp,デジタル庁 社会共通機能G データチーム,Code for Japan,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,貢献賞,#マンホール聖戦,https://prtimes.jp/main/html/rd/p/000000007.000079512.html,Whole Earth Foundation,Code for Japan,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,貢献賞,ビッグデータを活用したライフスタイル分析によるマッチング率及び成婚率向上プロジェクト,https://www.city.saijo.ehime.jp/soshiki/ijyusuishin/konkatsuccc.html,西条市,Code for Japan,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,貢献賞,デジタルツイン実現プロジェクト,https://info.tokyo-digitaltwin.metro.tokyo.lg.jp/,東京都,Code for Japan,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,貢献賞,NPTech Studio,https://nptechstudio-c4j-20210417.peatix.com/view,一般社団法人 コード・フォー・ジャパン,Code for Japan,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,貢献賞,東京備蓄ナビ,https://www.bichiku.metro.tokyo.lg.jp/,東京都,Code for Japan,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,貢献賞,箱根駅伝 3D,https://nagix.github.io/hakone-ekiden/,草薙 昭彦,Code for Japan,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,iU(情報経営イノベーション専門職大学)賞,「データで日本を見てみよう!」オープンデータ可視化プロジェクト,https://twitter.com/ShinagawaJP,にゃんこそば,iU,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,一般社団法人融合研究所賞,みえDXセンターの開設,https://www.pref.mie.lg.jp/TOPICS/m0345000002.htm,三重県デジタル社会推進局,一般社団法人融合研究所,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,一般社団法人CiP協議会賞,Digital Government Labsの活動,https://www.dgl.jp/,特定非営利活動法人 Digital Government Labs,一般社団法人CiP協議会,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,一般社団法人デジタルリスク協会賞,インターナショナルオープンデータデイ(IODD)10周年,https://opendataday.org/ja/,オープン・ナレッジ・ジャパン,一般社団法人デジタルリスク協会,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
2021,jig.jp賞,箱根駅伝 3D,https://nagix.github.io/hakone-ekiden/,草薙 昭彦,株式会社jig.jp,https://prtimes.jp/main/html/rd/p/000000047.000039198.html
